index,Singleplayer,Indie,Adventure,Action,Casual,Simulation,2D,RPG,Story Rich,Strategy,Atmospheric,3D,Exploration,Early Access,Multiplayer,Fantasy,First-Person,Colorful,Anime,Cute,Puzzle,Female Protagonist,Open World,Sci-fi,Pixel Graphics,Funny,Action-Adventure,Shooter,Third Person,Sandbox
359550,0,0,0,8875,0,0,0,0,0,4859,0,1862,0,0,8948,0,4841,0,0,0,0,0,0,0,0,0,0,8944,0,0
252490,0,3003,5639,4659,0,2461,0,0,0,0,0,0,0,2861,11263,0,5067,0,0,0,0,0,10699,0,0,0,0,3643,0,6994
1091500,4526,0,2074,2883,0,0,0,4591,4069,0,3748,0,3594,0,0,0,3909,0,0,0,0,0,5474,4331,0,0,0,0,0,0
553850,152,0,0,529,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,129,438,0,0,0,466,354,0
413150,3056,3788,0,0,3030,4913,2705,6004,0,0,0,0,0,0,6408,0,0,0,0,2511,0,0,2972,0,6609,0,0,0,0,3986
739630,245,500,0,431,0,0,0,0,0,0,0,575,0,566,2261,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0
1086940,1620,0,2040,0,0,0,0,3187,2506,1648,0,0,0,0,1825,1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381210,0,0,0,6498,0,0,0,0,0,2134,6456,0,0,0,9335,0,6569,0,0,0,0,0,0,0,0,0,0,0,6598,0
346110,3981,2115,6505,4837,0,0,0,3211,0,0,0,0,0,3467,9456,0,4422,0,0,0,0,0,9379,2598,0,0,0,0,0,4399
242760,2767,2242,5513,3697,0,2548,0,0,0,0,2726,0,3556,1610,0,0,4503,0,0,0,0,0,8548,0,0,0,0,0,0,3274
221100,0,10227,10235,10276,0,10251,0,0,0,0,10233,0,0,0,10289,0,10243,0,0,0,0,0,10296,0,0,0,0,10272,0,10239
367520,2853,3241,2576,1830,0,0,3566,0,2502,0,2834,0,2789,0,0,0,0,0,0,1479,0,0,1580,0,0,0,0,0,0,0
